,,INVENTORY,YEAR,MAKE,MODEL,,,,ENGINE,TRANSMISSION,DRIVE,COLOR,MILES,MPG,CLEAN,VALUE
,,VIN,,,,CHAVE,FOTO,RELATORIO,,,TRAIN,,,,TITLE?,
,SE,KL8CD6SA4MC749858,2021,CHEVY,SPARK 1LT,OK,,OK,"V4,ECOTEC,1.4L",CVT,FWD,BEIGE,37170,33,NO,$11.950
,SE,KMHD74LF5LU912992,2020,HYUNDAI,ELANTRA SE,OK,OK,OK,"4-Cyl, 2.0 Liter","Automatic, IVT",FWD,RED,70001,31,NO,$9.150
,E,JN1BJ1CR0KW335557,2019,NISSAN,ROGUE SPORT,,,OK,"4-Cyl, 2.0 Liter","Automatic, CVT w/Xtronic",AWD,BLACK,89198,24,NO,$10.150
,E,KNMAT2MV1KP518156,2019,NISSAN,ROGUE SV,OK,OK,OK,"V4,2.5L",CVT w/ Xtronic,AWD,BLUE,$123.107,33,NO,$9.950
,E,19XFC2F6XKE208678,2019,HONDA,CIVIC LX,,,,"V4,2.0L",CVT,FWD,GRAY,159523,36,NO,$9.350
,,,2019,FORD,FIESTA,,OK,,,,,,,,,
,SE,MAJ6S3GL6KC278754,2019,FORD,ECOSPORT SE,,,,"V4,2.0L",6 Spd w/ Selectshift,4WD,WHITE,66604,,NO,$9.350
,SE,3FADP4EJ2KM155211,2019,FORD,FIESTA  SE,OK,,OK,"V4,1.6L",CVT Powershift w/ Selectshift,FWD,BLUE,74494,31,NO,$7.150
,E,ML32A3HJ6KH010611,2019,MITSU,MIRAGE GT,,,OK,"V3,1.2L",CVT,FWD,ORANGE,$107.670,38,YES,$7.150
,SE,JF2SJAEC3JH580587,2018,SUBARU,FORESTER 2.5i PREMIUM,,,OK,"V4,PZEV,2.5L",CVT Lineartronic,AWD,BLUE,$66.799,28,NO,$13.950
,,,2018,HYUNDAI,ELANTRA,,,,,,,,,,,
,,,2018,TESLA,,,,,,,,,,,,
,,,2018,TESLA,,,,,,,,,,,,
,E,2C3CDXKTXJH148241,2018,DODGE,CHARGER POLICE GT,,,OK,"V8,5.7L ",10 Spd,AWD,WHITE,$171.630,21,YES,$10.950
,SE,1G1BE5SM6J7168475,2018,CHEVY ,CRUZE LT,,,OK,"V4,Turbo,1.4L",6 Spd,FWD,RED,98000?,35,NO,
,SE,ML32F3FJ6JHF05509,2018,MITSU,MIRAGE G4 ES,,,OK,"V3,1.2L",CVT,FWD,PURPLE,$79.052,33,NO,$6.950
,E,2C4RDGCG3JR248621,2018,DODGE ,GRAN CARAVAN SXT,,,OK,"V6,3.6L",6 Spd,FWD,WHITE,$181.764,24,YES,$5.850
,,,2017,KIA,SPORTAGE,,,,,,,,,,,
,SE,2C3CDZAG7HH605890,2017,DODGE,CHALLENGER SXT,,,OK,"V6,3.6L",8 Spd,RWD,GRAY,$68.412,23,NO,$13.950
,,,2016,FORD,EDGE,,,,,,,,,,,
,SE,19XFC2F50GE024798,2016,HONDA,CIVIC LX,,,,"V4,iVTEC,2.0L",CVT,FWD,SILVER,$57.490,35,NO,$12.750
,SE,1G1PC5SH4G7213761,2016,CHEVY,CRUZE,OK,,,"V4, ECOTEC,1,.8L",6 Spd Overdrive,FWD,WHITE,$35.278,34,NO,$8.150
,,KNDJN2A29G7835811,2016,KIA,SOUL WAGON,OK,,,"V4, 1.6L","MANUAL, 6 Spd",FWD,GREEN,134870,,YES,$4.950
,, ,2016,HYUNDAI,SANTA FE,OK,,,"V4,GDI,2.4 L",,AWD,BLACK,116050,,NO,$7.250
,SE,3FA6P0H71GR202255,2016,FORD,FUSION SE,,OK,,"V4,2.5L",6 Spd SelShft Start,FWD,RED,98123,36,NO,$7.950
,E,KMHD35LH4GU312005,2016,HYUNDAI,ELANTRA GT,,,,"V4,2.0L",6 Spd Shiftronic,FWD,BLACK,60325,28,NO,$7.350
,SE,JM1BM1U73G1320718,2016,MAZDA,3 i Sport Sedan,,,,"V4,SKYACTIV-G,2.0L",6 Spd SKYACTIV-G,FWD,BLACK,124056,34,NO,$7.250
,SE,JM1BM1T74G1292302,2016,MAZDA,3 i Sport Sedan,,,,"V4,SKYACTIV-G,2.0L",6 Spd SKYACTIV-G,FWD,BLACK,$127.317,34,NO,$6.950
,E,1G1PC5SH8G7196219,2016,CHEVY,CRUZE LS,OK,,,"V4,ECOTEC,1.8L",6 Spd w/overdrive,FWD,BLACK,146582,35,YES,$5.650
,,KL4CJASB4FB052527,2015,BUICK,ENCORE SPORT,OK,,,"V4,ECOTEC,1.4 L",6 Spd Overdrive,FWD,RED,158469,28,YES,$4.950
,,,2015,HONDA,CIVIC  ,,,,,,,,,,,
,E,1GCNCPEHXFZ193041,2015,CHEVY,SILVERADO REG CAB 8ft,OK,,,"V6,Ecotec,FF,4.3L",6 Spd HD Overdrive,2WD,WHITE,$163.181,20,YES,$7.850
,E,1G11D5SL7FF120521,2015,CHEVY,MALIBU LT,,,,"V4,2.5","Auto, 6-Spd w/OD & Man Md",FWD,WHITE,$180.950,25,YES,$4.950
,SE,1HGCR3F81EA033898,2014,HONDA,ACCORD EX-L,,,,"V6, 3.5L",6 Spd w/Sport Mode,FWD,BLUE,$114.000,30,NO,$9.850
